samples,adolescentis,aerofaciens,bicirculans,bifidum,bolteae,caccae,catus,cellulosilyticus,champanellensis,cylindroides,distasonis,dorei,eligens,elsdenii,equolifaciens,fermentans,finegoldii,fragilis,hadrus,hallii,hominis,hypermegale,intestinalis,intestini,lactis,lenta,longum,muciniphila,obeum,ovatus,parainfluenzae,parvula,piger,plautii,pneumoniae,prausnitzii,pseudocatenulatum,ruminicola,ruminis,shahii,smithii,splanchnicus,sporogenes,thermophilus,thetaiotaomicron,torques,vulgatus,xylanisolvens
ERR260132,0.0570191906658332,0.0167794815576776,0,0,0,0.0202727908441737,0.0087276394056104,0.0068312120736202,0,0,0,0.0062609837638778,0,0,0,0,0,0,0.0101163303888439,0.0073121661533831,0,0,0.0116078167475682,0,0,0,0.021955306720252,0,0.0122687927454547,0,0,0,0,0,0,0.059363549279895,0,0,0,0,0,0,0,0,0,0.0098041306059449,0.0138121968359826,0
ERR260134,0.0071004882568848,0.0642301245424863,0,0,0,0,0.0082545632712992,0,0,0.0057622212394033,0,0,0,0,0.0113069043770428,0,0,0.109446165146727,0.010960020335351,0.0070042191853298,0,0,0,0,0,0,0.0077079487907,0,0.0119683648215505,0,0,0,0,0.007132180512163,0,0,0,0,0,0,0,0,0.0090060620284358,0.0810587505566818,0,0.0394763193276257,0,0
ERR260138,0,0.0342903317078891,0,0,0,0,0.0065494273558958,0.0060354368944412,0,0,0,0,0,0,0,0,0,0,0.119986541015491,0.0657088016150781,0,0,0.0057902182751597,0,0,0.0063063499386953,0.018275771533738,0.0202627051029434,0.0370290311315488,0,0,0,0,0,0,0.0162235822820626,0.0168888843572443,0,0,0,0.0314241797794052,0,0,0,0,0.0088537686431151,0,0
ERR260139,0.0396202557531319,0.023729761285832,0,0.0260395372626393,0,0,0.0126843630077003,0.0082869221212621,0,0,0,0,0,0,0,0,0,0,0.0827626437247429,0.0165944432527867,0.0070982995218492,0,0.0083708108442146,0,0,0,0.0137880520068287,0.00782851950883,0.034081958088179,0,0,0,0,0,0,0.009513906645584,0,0,0,0,0,0,0,0,0,0.0081957192569847,0,0
ERR260140,0,0.0127678436701772,0,0,0,0.0160674048819739,0,0,0,0,0,0.0704838082388857,0,0,0,0,0.0094112216962769,0.0213592018449284,0.0376041290978911,0.0225942503402361,0,0,0.0065551041213992,0,0,0,0.0077397942298345,0,0.0161552603410857,0.0245323236537147,0,0,0,0.0098271312511649,0,0.0279715478737077,0,0,0,0,0,0.0068036354407835,0.0055318144543424,0,0.035009585302307,0.0062935303421055,0.0095211768791241,0.0121296688610002
ERR260142,0.125874502418282,0.0255923672222674,0,0,0,0.0097164279783413,0,0.0185948013904873,0,0,0,0,0.0105875210989832,0,0,0,0,0,0.0378090405294492,0.0337430488990288,0.0064006224182478,0,0.0069603095895318,0,0,0,0.0070417109641043,0,0.018895663120341,0,0,0,0,0,0,0.0282036783298856,0,0,0,0.0168482568718084,0,0,0,0.0477819039261331,0,0,0.0112260790321587,0
ERR260143,0.0085040887243359,0.0096921427262229,0,0,0,0.0311108064262886,0.0158808725126867,0.0141998014663289,0,0,0,0.0146609480158405,0,0,0,0,0,0,0.0309315511525997,0.0306313180817188,0.0056601999047527,0,0,0,0,0,0.0151080455308395,0.0862615922421231,0.0135512043729961,0.0084455510805333,0,0,0,0,0,0,0,0,0,0,0.0599843041064417,0,0.0077355545030342,0,0,0.0181066038137145,0.0057856005461432,0
ERR260150,0,0,0.0134400207536624,0,0,0,0.0169463999931021,0,0,0,0,0.0435978363107366,0,0,0,0,0,0.0058308194135216,0.27128560615802,0.0171606095788499,0,0,0.0059202670984348,0,0,0.019127184036175,0,0,0.0143788840482838,0,0,0,0,0,0,0.0192071096288971,0,0,0,0.0166407933177406,0,0,0,0,0.0519340156499709,0.0746671485195209,0.0051611239217823,0
ERR260151,0,0,0,0,0,0.0094613407311518,0.0163864148131439,0.0063350554134984,0.0172345491140742,0,0,0.0104750057094056,0.0286508352004633,0,0,0,0,0,0.022429687337801,0.0082667142497223,0.0086937272851229,0,0.0275692745884599,0,0,0,0,0,0.0216446791426296,0.0124546403860063,0,0,0,0,0,0.0342962729786039,0,0,0,0,0.0201476084744973,0.0097853880740477,0,0,0.0065777402200828,0.0115422577374369,0.0377185495921492,0
ERR260152,0.0095643835456709,0.035259602342478,0,0,0,0,0.0206250714502441,0,0,0,0,0,0,0,0,0,0,0,0.0297463684264825,0.0271692167380261,0.0130117390057878,0,0.014968113229404,0,0,0,0,0.0085560320735868,0.0343987774055254,0,0,0,0,0,0,0.102639939184594,0,0,0,0,0.0217507850971837,0,0,0.0114475014657598,0,0.0384727404169222,0.009211029611009,0
ERR260154,0.0760766597482412,0.0094313054260222,0.0579838809671419,0.0054210625623332,0,0.010241030755546,0.0078650098385401,0,0,0,0,0,0,0,0,0,0,0,0.0131988463300898,0.0082372031591148,0,0,0.0118702929998113,0,0,0,0.0105292325938705,0,0.0120001078196178,0.0072672578775708,0,0,0,0,0,0.0545152160435591,0,0,0,0.0052129707000188,0,0,0,0.0249018032831074,0,0.0100439364942451,0.0276686703145637,0
ERR260158,0.0073799419801117,0,0.0466805188363055,0,0,0.0138583787041647,0.0253467656680874,0,0,0.0061291130060951,0,0.0134337807007449,0,0,0,0,0.022324566898554,0,0.0193807044193149,0.0083786658895978,0.026396522991446,0,0.0072801716559909,0,0,0,0.0086695563486715,0.0071293679179974,0.0075583037615963,0.0133949953062018,0,0,0,0,0,0.0215141562862576,0,0,0,0.0054924711680349,0.0505422172640425,0.010449856991616,0,0.0069481992987498,0,0.0117611605610716,0.0678785231236226,0.009755802562949
ERR260161,0,0.0078398113246281,0.228239227595713,0.0117617321035916,0,0,0.0091783525590155,0,0,0,0,0,0.015086485657974,0,0,0,0,0,0.131069232229222,0.0247009850268017,0.0067501369964459,0,0.0678220254013009,0,0,0,0.0076943450914969,0,0.0161302531099862,0,0,0,0,0,0,0.0119900070365355,0,0,0,0,0,0,0,0.0102158857438935,0,0.0056932083138171,0,0
ERR260162,0,0.0075309875687607,0,0,0,0.0072326893466572,0.007726245951978,0,0,0,0,0.0125081496225031,0.0214436356509186,0,0,0,0,0,0.0159881195910353,0.0128844139522065,0.0332666125742704,0,0.0079910773411646,0,0,0,0,0,0.0185452178878216,0,0,0,0,0,0,0.0387863701730494,0,0,0,0.0058951245528364,0,0,0,0.0118207598776381,0,0.0216709356233797,0,0
ERR260164,0,0.0190277701525977,0,0,0,0.0121882801019914,0,0.0367100258709139,0,0,0,0.060104131702345,0.0256733269022218,0,0.0082968262147056,0,0.0075997432042338,0,0.0170729570924735,0.0076417604836236,0,0,0.0251456591006398,0,0,0,0.0072247606192904,0,0.0063982605423228,0,0,0,0,0.0181991547892535,0,0.0662695184444799,0,0,0,0,0,0,0,0,0.0196277422885072,0.0073966757120799,0,0.0056172391224522
ERR260165,0,0,0,0,0.008467897699068,0,0.0098406217213234,0,0,0,0,0.0112058566859523,0.0292350544975687,0,0.0105013792516468,0,0,0,0.0090948532665903,0.0462730654119594,0,0,0.0144047975307969,0,0,0.0065163909664558,0,0.0270320571135775,0.0401162504150608,0.0214224493408263,0,0,0.0092964506016192,0,0,0.13864016727721,0,0,0,0.0059631115334219,0,0,0,0,0.0064494954652238,0.0302850406175113,0.0211831031072201,0.0059557236792768
ERR260166,0,0.0171626945177304,0,0,0,0.0114294663570325,0,0,0,0,0,0.0442505968417276,0.0053388848564059,0,0,0,0.0136312344989607,0,0.0216079797087332,0,0.010603248995133,0,0.0104225173271484,0,0,0,0,0.102897752708244,0.0073961541901788,0,0,0,0.0062647155433885,0,0,0.0174288708402379,0,0,0,0.0156402654581548,0.0493456940382669,0.0080483456671069,0,0,0.0073000019143928,0.0231027203739318,0.0546823075810716,0
ERR260167,0,0,0,0,0.0094371243826601,0.0168557093632973,0,0.0705136161211816,0,0,0,0.0336663535980249,0,0,0,0,0,0,0.0225393882398662,0.0057236091479103,0.0097092042518509,0,0.0232705648836168,0,0,0.0066222091628689,0.0076126960966504,0,0.0089775546607241,0,0,0,0,0.0051406001607615,0,0.0179327456669406,0,0,0,0,0,0,0,0,0.123783841158326,0,0.0573999339630335,0
ERR260172,0.0097775363902976,0.0314659513246285,0,0,0,0,0.0069274438988364,0,0,0,0,0.0057910758931224,0.0155740323835696,0,0,0,0,0,0.0129980950432628,0.0082061242777079,0.0052442016857252,0,0.0975618490175976,0,0,0,0.0165612318210652,0,0.0120983120927947,0.0175607075537712,0,0,0,0,0,0.227887276926397,0,0,0,0,0,0,0,0.010360266644838,0.0075770220552213,0.0193202944253992,0.0239934862440869,0
ERR260173,0.163202590857883,0.0580976938618979,0,0.0058557001755985,0,0.0130367841553041,0.0085844455215251,0,0,0,0,0.0290838537049678,0,0,0,0,0,0,0.0351320019862927,0.0161608861409133,0,0,0.0123050296532338,0.0107001859994895,0,0,0.0176654047784544,0.0141691255111717,0.019455861599025,0,0,0,0.0075697245489906,0,0,0.0816308639689658,0,0,0,0,0.0550744518007538,0,0,0,0,0.0161238586023501,0,0
ERR260174,0,0,0.205769158632402,0,0,0,0.0071693305068038,0.0101713507502277,0.0101593170977425,0,0,0.0067848177047368,0.0092239826557462,0,0,0,0,0,0.0055256087876499,0.0074612405924806,0.0055595474481746,0,0.0077715772085254,0,0,0,0,0.0312423702647695,0,0,0,0,0,0,0,0.114284631794207,0,0,0,0.0210767543020543,0.0100449033862228,0,0,0,0,0.0085001772613418,0.0376289492825734,0
ERR260177,0,0,0.0403338538443452,0,0,0,0.0109393714897828,0,0,0,0,0,0,0,0,0,0,0,0.0707881634537993,0.0170184166109657,0,0,0.0791303800352992,0,0,0,0.0374145322888044,0,0.0324228234263119,0.0050392301900707,0,0,0,0,0,0.0556089746949566,0,0,0,0,0,0,0,0.0322463973211186,0,0.0409631937788229,0.0079125551665117,0
ERR260180,0.0268282792770735,0.05494258901805,0.0064006938672814,0,0,0,0.042510800225172,0,0,0,0,0,0.0101015125385958,0,0,0,0,0,0.03491631465426,0.0215626211841042,0.0127782073131332,0,0.0166400011332649,0,0.0119969949159219,0,0,0,0.0303822886126663,0,0,0,0,0,0,0.0626785717447726,0,0,0,0,0.0100667419064512,0,0,0,0,0.0251884254360696,0,0
ERR260181,0,0.0112615025126056,0,0,0,0,0.0059195554773666,0,0,0,0,0.0093914722743218,0,0,0,0,0.0061627528093607,0.0090656918910892,0.0262750657590452,0.009044883563218,0.0303614193738774,0,0.141392114967903,0,0,0,0,0,0.012402650129721,0.018751081796591,0,0,0,0,0,0.0590245954435437,0,0,0,0,0,0,0,0.0051698054137594,0.065419786733556,0.0306767364786067,0.0677433439361222,0.0067732880657618
ERR260182,0,0.031664007935028,0.0651402861529906,0,0,0.0374271234067078,0.0126528911002098,0,0,0,0,0.0162103354884648,0.0437105078591344,0,0,0,0.0055242800188677,0,0.0118901666721247,0.0118031184316567,0.0084761750902115,0.0070736376760948,0.0368047369059536,0,0,0,0,0,0.0119832762987762,0.0096713625853024,0,0,0,0.0067977604188283,0,0.0376093859218076,0,0,0,0.0093097840622753,0,0,0,0,0.0552902810471146,0,0.0411538656785036,0.0081255407366823
ERR260185,0.0339905894645152,0.0598354425124388,0.0392239253893191,0,0,0.0077614993370229,0.0097549589673357,0.0051325465485063,0,0.0058554682137297,0,0,0,0,0,0,0,0,0.0760189523482355,0.0245977190216364,0.0058294638372829,0,0.0085773193953462,0,0,0,0,0.0146620744731267,0.0210557436090434,0,0,0,0.0079472961232227,0,0,0.069675139878886,0,0,0,0,0,0,0.0088974422364337,0,0,0.111244122002133,0.0106907578383692,0
ERR260186,0,0.0149856846629379,0,0,0,0.0128830561531398,0.006164529346601,0.0083757157401672,0,0,0,0,0.0181526501039572,0,0,0,0.0180728061540472,0,0.0084016543495632,0.0079568552328849,0.0054953559214856,0,0.0119153218618499,0,0,0,0.0102277111023866,0.0544940295298793,0.0373530919356116,0.0137807668733856,0,0,0,0,0,0.0547988882477178,0,0,0,0.0117848816121305,0.0264500162996941,0.0107366629114392,0,0.0096276005590784,0,0.015904103573401,0.0185137625137779,0.006851101921229
ERR260189,0.0361012640217076,0.0257408315036408,0.0270414510406747,0,0,0,0.0178961715041612,0.0211021222682633,0,0,0,0.0060154847254792,0.0101885444735248,0,0.0066100502462176,0,0.0785700251601125,0,0.0399229082120229,0.0136838401126058,0.0106174290179964,0,0.0228544253890101,0,0,0,0.0054418083768206,0,0.0273088324432954,0,0,0,0,0,0,0.0260567951521842,0,0,0,0,0.0277054879794155,0,0,0,0,0.0136051774588883,0,0.0129096277119815
ERR260194,0.0351610380621514,0.0955050065677144,0.0756044687225748,0.0161416255427685,0,0.008577989457241,0.0219392634599905,0,0,0,0,0,0,0,0,0,0.005384110911201,0,0.0199265410228809,0.02381684585278,0,0,0.0111579635687832,0,0,0,0.0175987977354291,0,0.017046383168296,0,0,0,0,0,0,0.0444887603176212,0,0,0.0135121689135834,0,0.0119339289845568,0,0,0,0,0.0361968058155342,0.0088785555999564,0
ERR260195,0.0090617191025234,0.0126728504763091,0,0,0,0.0087878502277775,0.0168493104701507,0,0,0,0,0,0.0181055245662156,0,0,0,0,0.0145955810442069,0.0414545810177399,0.0326207363118819,0,0,0.0395783290803235,0,0.062366252899266,0,0.0086614864511564,0,0.0264352052386581,0,0,0,0,0,0,0.102387097273964,0,0,0,0,0.0717346018556593,0,0.0055961562172591,0,0.0056221390627713,0.0252750147020946,0.0117616756579147,0
ERR260198,0.0155933645496387,0,0.0954848020406604,0,0,0,0.0070893637914416,0,0,0,0,0,0,0,0,0,0.0115500727244147,0.037675512951724,0.126448006066939,0.0173560194110025,0.0061087486521438,0,0.0249944459341385,0,0,0.013759607426959,0,0.0313203332286243,0.0267310441584213,0.0140716058526613,0,0,0,0.005198810012118,0,0.0910464030387829,0,0,0,0,0,0,0,0.0190871678811245,0.015274724236053,0.0081483191468001,0,0
ERR260199,0.0594849881155341,0.042850729455573,0,0,0,0,0,0,0,0.006680915172731,0,0,0,0,0,0,0.0182472685007946,0.0155566694851534,0,0.0123817406129245,0,0,0,0,0,0,0.0435078867133599,0.036898719011565,0.0068222067373767,0.0074229024537359,0,0,0.0101498571936135,0,0,0.0633371800627412,0,0,0,0.0160779059102839,0.0161723757088678,0.0075669482399147,0,0,0,0.0141839654730789,0.0251364028214245,0
ERR260200,0,0.0192355226416544,0,0.0052485378801044,0,0,0,0.0157103025880232,0,0,0,0.0107415990275382,0,0,0.0073501224693457,0,0.0173768457814024,0.0063537968959046,0.121214649424718,0.0146386236905773,0,0,0.0086776334025014,0,0,0,0,0.0327841195350665,0.0111379828988343,0,0,0,0,0,0,0.0642558449600166,0,0,0,0.0154315068287652,0.0118864387326702,0,0,0.0123601376530982,0.0056392673672102,0.0080323412312387,0,0
ERR260203,0.0105353426885653,0.0081130219490908,0.0520850238749558,0,0,0.0064869463138078,0,0.0089649422240495,0,0,0,0,0.0310395839193878,0,0,0,0,0,0,0.0065501725704888,0.007933261023233,0,0.0087696283152648,0,0.0085532389875864,0,0,0.0552243596679145,0.0088836835233952,0,0,0,0,0,0.0439237651382367,0.0319187782658559,0,0,0,0,0.008388692936331,0,0,0,0,0,0.0276200690281955,0
ERR260204,0,0.0160600243338839,0.0124246347515666,0,0.0126012334216233,0.114545711929989,0.0163174345553585,0.0142656405671728,0,0,0,0.0073145756348086,0,0,0.0077217415284911,0,0.0094169474820985,0,0.0331963116025609,0.0226939180548264,0.0105873021882977,0,0,0,0,0,0.0058043038084845,0.0380560244446466,0.0185381981510543,0.0067942453133538,0,0,0,0,0,0.0089234601584923,0,0,0,0,0.0201884774029993,0,0,0,0,0.0172881621249256,0.0584530295572488,0
ERR260206,0.0133485534322186,0.0264001514744925,0,0,0,0.0297287762032483,0.017562595608057,0,0,0,0,0,0,0,0,0,0.0172462972523453,0,0.0295296253866889,0.0116836961955656,0.0117531674106444,0,0.0140784098447523,0,0,0,0,0,0.0169024828467397,0.0166401268462657,0,0,0.0102893680435135,0,0,0.07623771142747,0,0,0,0.0330595804211045,0,0.0144630896709925,0,0.0103642879813436,0,0.0142339708793013,0.0405374075249586,0
ERR260214,0,0,0,0,0.0189163705394781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259731045417069,0.0066619639578279,0,0,0,0,0,0,0.0153083121487099,0.123291874196881,0.0129711981517173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451656151365,0,0.0302746945549112,0,0
ERR260218,0.0104634387150103,0.0070461027828518,0,0,0,0.0168806700478606,0.0068541247844233,0.0719783555968284,0,0,0,0.0092921178043329,0.015791625422224,0,0,0,0.0051094210810976,0,0.021240675354362,0.007950504117641,0.0123347458491933,0,0.0280361224781362,0,0,0,0.0071803598216199,0.0169906906615779,0.0119619513638729,0.007975378343351,0,0,0,0,0,0.0422115610298695,0,0,0,0,0.016142415784801,0.0154803787005194,0,0.0253854229383732,0.0167499209127183,0.0079128738787464,0.0678147928933699,0.0084068504893206
ERR260222,0,0.0084376848921403,0,0,0,0,0,0.416065424817573,0,0,0,0,0.0063112785379551,0,0,0,0.0405869063494896,0.0136670509292738,0.0343099649233197,0.0133725441628084,0,0,0.0147542460626779,0,0,0,0,0,0.0120118260534743,0,0,0,0,0,0,0.0112049039265221,0,0,0,0,0,0.0052898228322423,0,0,0,0,0.0596781937622674,0
ERR260223,0.161833528173603,0.0080582511167384,0.113393475113061,0,0,0.0082717755560071,0.0064614107535331,0.0132338285700574,0,0,0,0.0153668233637354,0,0,0,0,0.0056536172427264,0,0.0236222893269275,0.0101329438027672,0,0,0.0271114173898503,0,0,0,0.0071915930985301,0,0.0077545552505265,0,0,0,0,0,0,0.0337154902138694,0,0,0,0.0071651603101747,0,0,0,0,0.0060253634789598,0.0168913016254853,0.0074701684424751,0.0091015026571513
ERR260227,0,0.0112216613013229,0,0,0,0,0.0091620574285084,0,0,0,0,0,0,0,0,0,0,0,0.0054864686234216,0.0184839375426263,0,0,0.0195836064099996,0,0,0,0,0.0282614232987069,0.0185244481539092,0,0,0,0,0,0.017176610171937,0.0235637462215531,0,0,0,0,0,0,0,0,0,0.0107943575932701,0,0
ERR260230,0,0,0.0193140326974179,0,0,0.0148047139656881,0.0061026469057147,0.0257151548271177,0,0,0,0.0628104632804046,0.0310541851578766,0,0,0,0.0080394025390774,0,0.0232144010200348,0.0052426496904676,0.0217001202091346,0,0.0194486989280225,0,0,0,0,0,0.0105616800859883,0.0065363597870254,0,0,0,0,0,0.0153127123207411,0,0,0,0.0255856314370029,0.0267145801623119,0.0105993942495805,0,0,0,0.0060136948127977,0.0117152001603042,0.0073277857957412
ERR260231,0.0057668383063234,0.0056797507876654,0.093888941735273,0,0,0.0053626101886042,0.0078320833035099,0,0,0,0,0.0345651482851888,0.0084872954074042,0,0,0,0,0,0.0472784309445501,0.0160640964137322,0.0059987602175991,0,0.0142001245015127,0,0,0,0.0125645237219112,0.0590199215502176,0.0190463767200486,0,0,0,0,0,0,0.0855664772108223,0,0,0,0,0,0.0065416555860569,0,0.0058843877682029,0.0124469742600317,0.0167469672145394,0.0281154391780583,0
ERR260235,0,0.0090218888615419,0.0984118554218088,0,0,0,0.0153315751545443,0.0074744410422591,0,0,0,0,0.008549485612387,0,0.0060654635229968,0,0,0.0063529582617586,0.0371049744188786,0.0167692599311279,0,0,0,0.0139403285883333,0,0,0.0345819020162204,0.0626293145846799,0.0211131323459444,0.036970936857121,0,0,0,0,0,0.0377278796861959,0.0505577017982986,0,0,0,0,0,0,0.006122666954865,0,0,0,0.0091818896045533
ERR260238,0.0079233132729765,0.0116065247908117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103045402665056,0.0058237254616071,0,0,0.0531926700524676,0,0,0,0,0,0.005146794595813,0.0187776536577959,0,0,0,0,0,0.0127937336264758,0,0,0,0,0,0,0,0.0050888802575075,0,0,0.0332045014252894,0.0053789433434207
ERR260244,0,0,0,0,0,0,0,0.0119297630763415,0,0,0,0.0077727857650728,0,0,0.0189977512399124,0,0.0097593698897549,0,0.0586820099865666,0.0179162543715614,0.0122175007752605,0,0.033658752170225,0,0,0,0.0076113432221375,0.148326849845654,0.030833171330226,0,0,0,0,0,0,0.0232864051252626,0,0,0,0.0062604391102632,0,0,0.0061381800178528,0,0.0062564030466898,0.0090063076946879,0,0
ERR260245,0.0117938944394396,0.0158033183886233,0,0,0,0.0112937342136929,0.0113931846771844,0.0389485236258825,0.0275159852565173,0,0,0.0160477765454709,0.0216212674331525,0,0,0,0,0,0.0246406455401314,0.0134593504469552,0.008674678147864,0,0.0063117118720396,0,0,0,0.0141613195079742,0.0184436991152398,0.0364517935687537,0.0072577513688009,0,0,0.0071133252571027,0,0,0.0747619343948749,0,0,0,0.007992870584317,0.0235030718173865,0.0106210380961188,0,0.0066474783491688,0.0069371060147756,0.0395223508616229,0.0331321254657742,0
ERR260246,0,0.0114651992358895,0,0,0.0058844222502855,0,0,0,0,0.008263873112743,0,0.0185930586823658,0,0,0.0059981416647473,0,0.0360325276874639,0,0.102938761505073,0.0168729705609686,0.03038734904961,0,0.0103887341442083,0,0,0,0,0.0800406294415498,0.0137562453862971,0.0095837790732143,0,0,0.005116848993734,0.0158167047655124,0,0.0115341916372815,0,0,0,0.021319832508485,0,0,0,0,0,0.0099431691489065,0.0298457718151088,0
ERR260250,0,0,0.0180914141297086,0,0,0.107226136000637,0.0064794838179174,0.0080974653428231,0,0,0,0.0197877440009351,0.0165929705158294,0,0,0,0.0276821586455763,0.0260284039207427,0.0111336527057135,0.0106587760728685,0.0126462040604093,0,0.0138633745917573,0,0,0,0,0.125256836460045,0.0144402804215796,0.0175651450124602,0,0,0,0,0,0.0290987269779305,0,0,0,0.0345766871598397,0,0.0096930256367881,0,0,0.0142027161431855,0.0075460038312593,0,0
ERR260251,0.0164795816133042,0.0143772103730726,0.0400892170841664,0,0,0.0058369312467261,0.0102819999523213,0,0,0,0,0.062884771628877,0.0135631294469211,0,0,0,0.0060857945294534,0,0.0141736096032556,0.0090794023673099,0.0072370086923354,0,0.0250920230378137,0,0,0,0.008073318183546,0.0056270484911314,0.0147541295197277,0.0192868238730923,0,0,0,0,0,0.0594462703367209,0,0,0.0158480004278193,0.0060886939075046,0,0,0,0,0.008326047303675,0.017750475659077,0.0254563782129136,0
ERR260252,0.0187171765919247,0.0215287404805299,0.0759124037995092,0,0,0.0064535082591924,0.0123391249570639,0.0148905244181749,0,0,0,0.011237851617588,0.0067403149545195,0,0,0,0.0097900499891195,0,0.0134096434638739,0.0075705166293347,0.0103071603151083,0,0.0082056396853208,0,0,0,0.0260777736075973,0.0873310294625933,0.0069244863361821,0.0054879495592135,0,0,0.0061321917806994,0,0,0.0222883133245134,0,0,0,0.0324370504899585,0.0325395069964562,0.0080330907694912,0,0,0,0.0070500089671794,0.0324558252424579,0
ERR260258,0.0060994886702831,0.0128038777999844,0.0367494224829339,0,0,0,0.0088208269525268,0.0054922521867781,0,0,0,0,0,0,0.0087416616918005,0,0,0,0.0144598593194383,0.0090097853453422,0,0,0.0670119656344901,0,0,0,0.0081767332000934,0,0.0126789005113297,0,0,0,0,0,0,0.0855637604796636,0,0,0,0,0,0,0,0.0057232590131596,0.0134626365925195,0.0075532743270952,0,0
ERR260261,0.0055461121781851,0.0066327314283318,0.0746877380675137,0,0.0140192831242494,0.0315479056509173,0.0066957569574338,0.0480209513522201,0,0,0,0.0781566954411579,0.0070173349769244,0,0,0,0.0078020632865004,0,0.0105496538366488,0.0125995961259591,0.0110117290644042,0,0.0131439136219669,0,0,0,0,0.010974236265642,0.0085497019456881,0.0068835569082228,0,0,0,0,0,0.0105145127367338,0,0,0,0,0,0.0070370220558443,0,0,0.0297611520582942,0,0.0099348525666239,0
ERR260270,0,0.008699443947299,0.0121013361006035,0.0087169756283522,0,0,0,0.0305002758442157,0,0,0,0,0,0,0,0,0.0059749461087314,0,0.0652622422423244,0.0153976651530982,0.0054501147206065,0,0.0087594992802685,0,0,0,0.0092142039441806,0.0335739152458856,0.0096737577964691,0.0318349216912029,0,0,0,0,0,0.112061013234181,0,0,0,0.0089922603223367,0,0.0050565844331354,0,0,0.0063763097005029,0,0.0120289712894477,0.006892934769837
ERR260275,0.0065796821558113,0.0127764939876171,0.166569609657729,0.0068574589032599,0,0,0.0084025405444836,0.0059944551804745,0,0,0,0,0.0074274370067041,0,0,0,0,0.0087928292385991,0.0150955589103074,0.0135673746676673,0.0052538545645025,0,0.0220313228313939,0,0,0,0.0054174708385931,0.010846481364024,0.0203572439765926,0.0098586017443885,0,0,0,0,0,0.136432481086247,0,0,0,0,0,0,0,0.0076689461669487,0.0073322345902937,0.0059602482516344,0.0124055754821219,0
ERR260276,0,0.0194097979552376,0,0.0176335037602825,0.0188201064435723,0.0450215416604032,0,0,0,0,0,0.0360655534810493,0,0,0,0,0,0.0263682609308875,0.0828698354613711,0.0247402276100939,0,0,0.0076806868165657,0,0,0,0.0104618029708385,0,0.0126390461385262,0.0079741144249063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104081712111418,0,0.0482291334422643,0,0.0075081885125411
ERR275251,0.0152701871090267,0.0241757084751901,0,0,0,0,0.0052788083222218,0,0.0091441626363248,0,0,0.0051086674033625,0.0072806993759015,0,0,0,0,0,0.0162566238809033,0.0107423456010803,0.0050089296233416,0,0.015251317799293,0,0,0,0.0064892983264825,0.0722528068891057,0.0122136760634243,0.0085072045085916,0,0,0,0,0,0.0438792319778668,0,0,0,0.0150642103582362,0.0065015078798396,0,0,0.0078401189115357,0,0.0093189019583965,0.0087552011508059,0
